Call Number,Call # Formatted,Title,Title,Library,Author,Barcode,COPY,N/A,LOCATION,Loan,Edition,Year,Last Check-Out,Check-  Outs,Decision,Call Number 2,Field18,Title,Library 2,Barcode 2,Field22,Field23,Field24,Field25,Field26,Field27,Field28,Date Created,Last Check-Out,Check-Outs
PN761 .H43 1994,PN761.H431994,The location of culture / Homi K. Bhadha,The location of culture / Homi K. Bhadha…,GRANDDEPOS,"Bhabha, Homi K., 1949-",31275037399178,1,671921,BOOKSTACKS,4WK/SEMSTR,-,1994,3/14/2014,20,,PN761 .H43 1994,PN761.H431994,The location of culture / Homi K. Bhadha,LEAVEY,31275026047069,,1,671921,BOOKSTACKS,4WK/SEMSTR,-,1994,9/25/1996,3/19/2014,116
PN761 .H43 1994,PN761.H431994,The location of culture / Homi K. Bhadha,The location of culture / Homi K. Bhadha…,DOHENY,"Bhabha, Homi K., 1949-",31275025842213,1,671921,BOOKSTACKS,4WK/SEMSTR,-,1994,2/25/2015,109,,PN761 .H43 1994,PN761.H431994,The location of culture / Homi K. Bhadha,LEAVEY,31275026047069,,1,671921,BOOKSTACKS,4WK/SEMSTR,-,1994,9/25/1996,3/19/2014,116
PR115 .G5,PR115.G5,The madwoman in the attic : the woman writer and the nineteenth-century literary imagination / Sandra M. Gilbert and Susan Gubar,The madwoman in the attic : the woman writer …,GRANDDEPOS,"Gilbert, Sandra M",31275055045521,2,610900,BOOKSTACKS,4WK/SEMSTR,-,1979,5/2/2002,0,,PR115 .G5,PR115.G5,The madwoman in the attic : the woman writer and the nineteenth-century literary imagination / Sandra M. Gilbert and Susan Gubar,LEAVEY,31275000885146,,2,610900,BOOKSTACKS,4WK/SEMSTR,-,1979,9/25/1996,1/14/2007,113
PR115 .G5,PR115.G5,The madwoman in the attic : the woman writer and the nineteenth-century literary imagination / Sandra M. Gilbert and Susan Gubar,The madwoman in the attic : the woman writer …,DOHENY,"Gilbert, Sandra M",31275000719154,1,610900,BOOKSTACKS,4WK/SEMSTR,-,1979,3/10/2014,132,,PR115 .G5,PR115.G5,The madwoman in the attic : the woman writer and the nineteenth-century literary imagination / Sandra M. Gilbert and Susan Gubar,LEAVEY,31275000885146,,1,610900,BOOKSTACKS,4WK/SEMSTR,-,1979,9/25/1996,1/14/2007,113
DS889 .D69 1999,DS889.D691999,Embracing defeat : Japan in the wake of World War II / by John W. Dower,Embracing defeat : Japan in the wake of World…,DOHENY,"Dower, John W",31275029832038,1,1449578,BOOKSTACKS,4WK/SEMSTR,1st ed.,1999,4/25/2014,73,,DS889 .D69 1999,DS889.D691999,Embracing defeat : Japan in the wake of World War II / by John W. Dower,LEAVEY,31275029831154,,1,1449578,BOOKSTACKS,4WK/SEMSTR,1st ed.,1999,3/11/1999,9/2/2014,112
BJ1251 .H325,BJ1251.H325,A community of character : toward a constructive Christian social ethic / Stanley Hauerwas,A community of character : toward a construct…,DOHENY,"Hauerwas, Stanley, 1940-",31275004479433,1,647411,BOOKSTACKS,4WK/SEMSTR,-,1981,1/12/2012,91,,BJ1251 .H325,BJ1251.H325,A community of character : toward a constructive Christian social ethic / Stanley Hauerwas,LEAVEY,31275002723006,,1,647411,BOOKSTACKS,4WK/SEMSTR,-,1981,9/25/1996,1/16/2007,111
PN1998.A3 C784,PN1998.A3C784,Hollywood Red : the autobiography of Lester Cole,Hollywood Red : the autobiography of Lester C…,GRANDDEPOS,"Cole, Lester, 1904-1985",31275015965289,1,779817,BOOKSTACKS,4WK/SEMSTR,-,1981,4/3/2000,14,,PN1998.A3 C784,PN1998.A3C784,Hollywood Red : the autobiography of Lester Cole,LEAVEY,31275001671461,,1,779817,BOOKSTACKS,4WK/SEMSTR,-,1981,9/25/1996,4/28/2014,106
PS3515.E37 I5 1958,PS3515.E37I51958,In our time : stories,In our time : stories…,DOHENY,"Hemingway, Ernest, 1899-1961",31275000788928,1,651568,BOOKSTACKS,4WK/SEMSTR,-,1958,4/1/2005,51,,PS3515.E37 I5 1958,PS3515.E37I51958,In our time : stories,LEAVEY,31275000814054,,1,651568,BOOKSTACKS,4WK/SEMSTR,-,1958,9/25/1996,12/9/2013,106
PN83 .A43 1972,PN83.A431972,"How to read a book, by Mortimer J. Adler and Charles van Doren","How to read a book, by Mortimer J. Adler and …",DOHENY,"Adler, Mortimer Jerome, 1902-2001",31275000614363,1,624792,BOOKSTACKS,4WK/SEMSTR,Rev. and updated ed.,1972,2/12/2015,67,,PN83 .A43 1972,PN83.A431972,"How to read a book, by Mortimer J. Adler and Charles van Doren",LEAVEY,31275000546847,,1,624792,BOOKSTACKS,4WK/SEMSTR,Rev. and updated ed.,1972,9/25/1996,12/16/2014,106
DS778.M3 A538 1969,DS778.M3A5381969,The political thought of Mao Zedong [by] Stuart R. Schram,The political thought of Mao Zedong [by] Stua…,GRANDDEPOS,"Mao, Zedong, 1893-1976",31275002120906,1,616161,BOOKSTACKS,4WK/SEMSTR,Rev. and enl. ed.,1969,,0,,DS778.M3 A538 1969,DS778.M3A5381969,The political thought of Mao Zedong [by] Stuart R. Schram,LEAVEY,31275000552548,,1,616161,BOOKSTACKS,4WK/SEMSTR,Rev. and enl. ed.,1969,9/25/1996,10/20/2009,105
