Call Number,Call # Formatted,Title,Title,Library,Author,Barcode,COPY,N/A,LOCATION,Loan,Edition,Year,Last Check-Out,Check-  Outs,Decision,Call Number 2,Field18,Title,Library 2,Barcode 2,Field22,Field23,Field24,Field25,Field26,Field27,Field28,Date Created,Last Check-Out,Check-Outs
QA273 .G74 2001,QA273.G742001,Probability and random processes / Geoffrey R. Grimmett and David R. Stirzaker,Probability and random processes / Geoffrey R…,SCIENCE,"Grimmett, Geoffrey",31275035691188,1,1930086,BOOKSTACKS,4WK/SEMSTR,3rd ed.,2001,2/20/2015,239,,QA273 .G74 2001,QA273.G742001,Probability and random processes / Geoffrey R. Grimmett and David R. Stirzaker,LEAVEY,31275037943678,,1,1930086,BOOKSTACKS,4WK/SEMSTR,3rd ed.,2001,9/9/2003,8/20/2014,65
PR6029.R8 N5 1949,PR6029.R8N51949,"Nineteen eighty-four, a novel","Nineteen eighty-four, a novel…",DOHENY,"Orwell, George, 1903-1950",31275000045865,3,623848,BOOKSTACKS,4WK/SEMSTR,[1st American ed.],1949,6/19/1984,7,,PR6029.R8 N5 1949,PR6029.R8N51949,"Nineteen eighty-four, a novel",LEAVEY,31275000834813,,3,623848,BOOKSTACKS,4WK/SEMSTR,[1st American ed.],1949,9/25/1996,8/20/2005,64
HF5387 .B873 1984,HF5387.B8731984,"Business ethics : readings and cases in corporate morality / [compiled by] W. Michael Hoffman, Jennifer Mills Moore",Business ethics : readings and cases in corpo…,GRANDDEPOS,"Hoffman, W. Michael",31275004367034,1,610043,BOOKSTACKS,4WK/SEMSTR,-,1984,12/11/1998,39,,HF5387 .B873 1984,HF5387.B8731984,"Business ethics : readings and cases in corporate morality / [compiled by] W. Michael Hoffman, Jennifer Mills Moore",LEAVEY,31275018325457,,1,610043,BOOKSTACKS,4WK/SEMSTR,-,1984,9/25/1996,8/28/2014,64
PR6029.R8 N5 1949,PR6029.R8N51949,"Nineteen eighty-four, a novel","Nineteen eighty-four, a novel…",DOHENY,"Orwell, George, 1903-1950",31275002319771,3,623848,BOOKSTACKS,4WK/SEMSTR,[1st American ed.],1949,12/15/1998,31,,PR6029.R8 N5 1949,PR6029.R8N51949,"Nineteen eighty-four, a novel",LEAVEY,31275000834813,,3,623848,BOOKSTACKS,4WK/SEMSTR,[1st American ed.],1949,9/25/1996,8/20/2005,64
D810.J4 F376,D810.J4F376,Accounting for genocide : national responses and Jewish victimization during the Holocaust / Helen Fein,Accounting for genocide : national responses …,DOHENY,"Fein, Helen, 1934-",31275001637157,1,642505,BOOKSTACKS,4WK/SEMSTR,-,1979,11/21/2005,66,,D810.J4 F376,D810.J4F376,Accounting for genocide : national responses and Jewish victimization during the Holocaust / Helen Fein,LEAVEY,31275000874009,,1,642505,BOOKSTACKS,4WK/SEMSTR,-,1979,9/25/1996,4/15/2009,64
PS2618.T32 T3 1987,PS2618.T32T31987,The Tales of Poe / edited and with an introduction by Harold Bloom,The Tales of Poe / edited and with an introdu…,GRANDDEPOS,"Bloom, Harold",31275046804739,1,654299,BOOKSTACKS,4WK/SEMSTR,-,1987,10/30/2009,0,,PS2618.T32 T3 1987,PS2618.T32T31987,The Tales of Poe / edited and with an introduction by Harold Bloom,LEAVEY,31275026331547,,1,654299,BOOKSTACKS,4WK/SEMSTR,-,1987,9/25/1996,11/12/2009,64
CB357 .T64 1990,CB357.T641990,Cosmopolis : the hidden agenda of modernity / Stephen Toulmin,Cosmopolis : the hidden agenda of modernity /…,PHILOSOPHY,"Toulmin, Stephen, 1922-2009",31275021226361,1,660666,BOOKSTACKS,4WK/SEMSTR,-,1990,3/9/2010,97,,CB357 .T64 1990,CB357.T641990,Cosmopolis : the hidden agenda of modernity / Stephen Toulmin,LEAVEY,31275026380668,,1,660666,BOOKSTACKS,4WK/SEMSTR,-,1990,9/25/1996,1/27/2012,64
PS3509.L43 W3815 1986,PS3509.L43W38151986,T.S. Eliot : The waste land / edited and with an introduction by Harold Bloom,T.S. Eliot : The waste land / edited and with…,DOHENY,"Bloom, Harold",31275021665402,2,610225,BOOKSTACKS,4WK/SEMSTR,-,1986,12/8/2011,43,,PS3509.L43 W3815 1986,PS3509.L43W38151986,T.S. Eliot : The waste land / edited and with an introduction by Harold Bloom,LEAVEY,31275018244997,,2,610225,BOOKSTACKS,4WK/SEMSTR,-,1986,9/25/1996,1/17/2007,64
PS2618.T32 T3 1987,PS2618.T32T31987,The Tales of Poe / edited and with an introduction by Harold Bloom,The Tales of Poe / edited and with an introdu…,DOHENY,"Bloom, Harold",31275021057030,1,654299,BOOKSTACKS,4WK/SEMSTR,-,1987,4/29/2012,53,,PS2618.T32 T3 1987,PS2618.T32T31987,The Tales of Poe / edited and with an introduction by Harold Bloom,LEAVEY,31275026331547,,1,654299,BOOKSTACKS,4WK/SEMSTR,-,1987,9/25/1996,11/12/2009,64
JK469 1992,JK4691992,Reinventing government : how the entrepreneurial spirit is transforming the public sector / David Osborne and Ted Gaebler,Reinventing government : how the entrepreneur…,DOHENY,"Osborne, David (David E.)",31275024691223,2,53484,BOOKSTACKS,4WK/SEMSTR,-,1992,6/7/2012,45,,JK469 1992,JK4691992,Reinventing government : how the entrepreneurial spirit is transforming the public sector / David Osborne and Ted Gaebler,LEAVEY,31275026324260,,2,53484,BOOKSTACKS,4WK/SEMSTR,-,1992,9/23/1996,1/5/2015,64
HT167 .G36 1991,HT167.G361991,"People, plans, and policies : essays on poverty, racism, and other national urban problems / Herbert J. Gans","People, plans, and policies : essays on pover…",VKC,"Gans, Herbert J",31275022931217,1,480795,BOOKSTACKS,4WK/SEMSTR,-,1991,3/5/2013,57,,HT167 .G36 1991,HT167.G361991,"People, plans, and policies : essays on poverty, racism, and other national urban problems / Herbert J. Gans",LEAVEY,31275026338708,,1,480795,BOOKSTACKS,4WK/SEMSTR,-,1991,9/24/1996,5/12/2013,64
PS3515.E37 Z525,PS3515.E37Z525,A moveable feast,A moveable feast…,GRANDDEPOS,"Hemingway, Ernest, 1899-1961",31275001831396,3,621292,BOOKSTACKS,4WK/SEMSTR,-,1964,3/17/2013,44,,PS3515.E37 Z525,PS3515.E37Z525,A moveable feast,LEAVEY,31275001831206,,3,621292,BOOKSTACKS,4WK/SEMSTR,-,1964,9/25/1996,10/10/2014,64
ML3531 .P68 1995,ML3531.P681995,Spectacular vernaculars : hip-hop and the politics of postmodernism / Russell A. Potter,Spectacular vernaculars : hip-hop and the pol…,MUSIC,"Potter, Russell A., 1960-",31275027934653,1,924233,BOOKSTACKS,4WK/SEMSTR,-,1995,4/18/2013,65,,ML3531 .P68 1995,ML3531.P681995,Spectacular vernaculars : hip-hop and the politics of postmodernism / Russell A. Potter,LEAVEY,31275027502310,,1,924233,BOOKSTACKS,4WK/SEMSTR,-,1995,12/8/1996,12/13/2014,64
GN345 .T37 1993,GN345.T371993,Mimesis and alterity : a particular history of the senses / Michael Taussig,Mimesis and alterity : a particular history o…,DOHENY,"Taussig, Michael T",31275024761570,1,668345,BOOKSTACKS,4WK/SEMSTR,-,1993,8/16/2013,73,,GN345 .T37 1993,GN345.T371993,Mimesis and alterity : a particular history of the senses / Michael Taussig,LEAVEY,31275026416934,,1,668345,BOOKSTACKS,4WK/SEMSTR,-,1993,9/25/1996,2/14/2013,64
F869.L89 M445,F869.L89M445,"The Los Angeles barrio, 1850-1890 : a social history / Richard Griswold del Castillo","The Los Angeles barrio, 1850-1890 : a social …",DOHENY,"Griswold del Castillo, Richard",31275001389866,1,46298,BOOKSTACKS,4WK/SEMSTR,-,1979,1/3/2014,78,,F869.L89 M445,F869.L89M445,"The Los Angeles barrio, 1850-1890 : a social history / Richard Griswold del Castillo",LEAVEY,31275001488973,,1,46298,BOOKSTACKS,4WK/SEMSTR,-,1979,9/23/1996,4/27/2011,64
PR6063.C4 A88 2002,PR6063.C4A882002,Atonement : a novel / Ian McEwan,Atonement : a novel / Ian McEwan…,DOHENY,"McEwan, Ian",31275036647916,1,1949761,BOOKSTACKS,4WK/SEMSTR,1st ed. in the United States of America,2002,2/22/2015,59,,PR6063.C4 A88 2002,PR6063.C4A882002,Atonement : a novel / Ian McEwan,LEAVEY,31275036642446,,1,1949761,BOOKSTACKS,4WK/SEMSTR,1st ed. in the United States of America,2002,4/24/2002,9/25/2014,64
HF1359.F74 1999,HF1359.F741999,The Lexus and the olive tree / Thomas L. Friedman,The Lexus and the olive tree / Thomas L. Frie…,GRANDDEPOS,"Friedman, Thomas L",31275053013281,1,1482556,BOOKSTACKS,4WK/SEMSTR,1st ed.,1999,,0,,HF1359.F74 1999,HF1359.F741999,The Lexus and the olive tree / Thomas L. Friedman,LEAVEY,31275040223688,,1,1482556,BOOKSTACKS,4WK/SEMSTR,1st ed.,1999,3/17/2005,1/1/2015,64
CB357 .T64 1990,CB357.T641990,Cosmopolis : the hidden agenda of modernity / Stephen Toulmin,Cosmopolis : the hidden agenda of modernity /…,GRANDDEPOS,"Toulmin, Stephen, 1922-2009",31275050907279,1,660666,BOOKSTACKS,4WK/SEMSTR,-,1990,,0,,CB357 .T64 1990,CB357.T641990,Cosmopolis : the hidden agenda of modernity / Stephen Toulmin,LEAVEY,31275026380668,,1,660666,BOOKSTACKS,4WK/SEMSTR,-,1990,9/25/1996,1/27/2012,64
QH75 .E36,QH75.E36,Extinction : the causes and consequences of the disappearance of species / Paul and Anne Ehrlich,Extinction : the causes and consequences of t…,VKC,"Ehrlich, Paul R",31275001531475,1,613107,BOOKSTACKS,4WK/SEMSTR,1st ed.,1981,2/15/2001,37,,QH75 .E36,QH75.E36,Extinction : the causes and consequences of the disappearance of species / Paul and Anne Ehrlich,LEAVEY,31275001450254,,1,613107,BOOKSTACKS,4WK/SEMSTR,1st ed.,1981,9/25/1996,1/14/2008,63
QA276 .F692 1980,QA276.F6921980,"Mathematical statistics / John E. Freund, Ronald E. Walpole","Mathematical statistics / John E. Freund, Ron…",GRANDDEPOS,"Freund, John E",31275002738327,1,644032,BOOKSTACKS,4WK/SEMSTR,3d. ed.,1980,7/31/2002,65,,QA276 .F692 1980,QA276.F6921980,"Mathematical statistics / John E. Freund, Ronald E. Walpole",LEAVEY,31275005697124,,1,644032,BOOKSTACKS,4WK/SEMSTR,3d. ed.,1980,9/25/1996,9/8/2013,63
PS3559.R8 P7 1989,PS3559.R8P71989,A prayer for Owen Meany : a novel / John Irving,A prayer for Owen Meany : a novel / John Irvi…,GRANDDEPOS,"Irving, John, 1942-",31275021042578,2,1004969,BOOKSTACKS,4WK/SEMSTR,1st Trade ed.,1989,9/3/2008,1,,PS3559.R8 P7 1989,PS3559.R8P71989,A prayer for Owen Meany : a novel / John Irving,LEAVEY,31275026476789,,2,1004969,BOOKSTACKS,4WK/SEMSTR,1st Trade ed.,1989,1/15/1997,9/20/2014,63
HQ1090 .C467 1987,HQ1090.C4671987,Changing men : new directions in research on men and masculinity / edited by Michael S. Kimmel,Changing men : new directions in research on …,DOHENY,"Kimmel, Michael S",31275019343335,1,654989,BOOKSTACKS,4WK/SEMSTR,-,1987,5/8/2009,66,,HQ1090 .C467 1987,HQ1090.C4671987,Changing men : new directions in research on men and masculinity / edited by Michael S. Kimmel,LEAVEY,31275019411348,,1,654989,BOOKSTACKS,4WK/SEMSTR,-,1987,9/25/1996,5/1/2011,63
HB139 .W66 1979,HB139.W661979,"Econometrics / Ronald J. Wonnacott, Thomas H. Wonnacott","Econometrics / Ronald J. Wonnacott, Thomas H.…",SCIENCE,"Wonnacott, Ronald J",31275021804258,1,643050,BOOKSTACKS,4WK/SEMSTR,2d ed.,1979,9/10/2009,31,,HB139 .W66 1979,HB139.W661979,"Econometrics / Ronald J. Wonnacott, Thomas H. Wonnacott",LEAVEY,31275006620828,,1,643050,BOOKSTACKS,4WK/SEMSTR,2d ed.,1979,9/25/1996,11/2/2010,63
H62 .S7968 1982,H62.S79681982,"Asking questions / Seymour Sudman, Norman M. Bradburn","Asking questions / Seymour Sudman, Norman M. …",DOHENY,"Sudman, Seymour",31275003585032,1,48607,BOOKSTACKS,4WK/SEMSTR,1st ed.,1982,5/17/2010,71,,H62 .S7968 1982,H62.S79681982,"Asking questions / Seymour Sudman, Norman M. Bradburn",LEAVEY,31275004789179,,1,48607,BOOKSTACKS,4WK/SEMSTR,1st ed.,1982,9/23/1996,6/1/2012,63
E184.A1 B554 1994,E184.A1B5541994,"Blacks, Latinos, and Asians in urban America ; status and prospects for politics and activism / edited by James Jennings ; foreword by Luis Fuentes","Blacks, Latinos, and Asians in urban America …",DOHENY,"Jennings, James, 1949-",31275025470817,1,675774,BOOKSTACKS,4WK/SEMSTR,-,1994,8/24/2011,55,,E184.A1 B554 1994,E184.A1B5541994,"Blacks, Latinos, and Asians in urban America ; status and prospects for politics and activism / edited by James Jennings ; foreword by Luis Fuentes",LEAVEY,31275026451238,,1,675774,BOOKSTACKS,4WK/SEMSTR,-,1994,9/25/1996,2/19/2014,63
HQ1767 .J63 1983,HQ1767.J631983,"Women, the family, and peasant revolution in China / Kay Ann Johnson","Women, the family, and peasant revolution in …",DOHENY,"Johnson, Kay Ann",31275015150403,1,461931,BOOKSTACKS,4WK/SEMSTR,-,1983,3/8/2012,81,,HQ1767 .J63 1983,HQ1767.J631983,"Women, the family, and peasant revolution in China / Kay Ann Johnson",LEAVEY,31275004366606,,1,461931,BOOKSTACKS,4WK/SEMSTR,-,1983,9/24/1996,11/13/2008,63
ND646 .A72 1983,ND646.A721983,The art of describing : Dutch art in the seventeenth century / Svetlana Alpers,The art of describing : Dutch art in the seve…,GRANDDEPOS,"Alpers, Svetlana",31275005517611,1,975897,BOOKSTACKS,4WK/SEMSTR,-,1983,12/7/2012,64,,ND646 .A72 1983,ND646.A721983,The art of describing : Dutch art in the seventeenth century / Svetlana Alpers,LEAVEY,31275003847564,,1,975897,BOOKSTACKS,4WK/SEMSTR,-,1983,1/1/1997,12/13/2012,63
HQ798 .P57 1994,HQ798.P571994,Reviving Ophelia : saving the selves of adolescent girls / Mary Pipher,Reviving Ophelia : saving the selves of adole…,DOHENY,"Pipher, Mary Bray",31275025900235,1,361713,BOOKSTACKS,4WK/SEMSTR,-,1994,2/22/2013,63,,HQ798 .P57 1994,HQ798.P571994,Reviving Ophelia : saving the selves of adolescent girls / Mary Pipher,LEAVEY,31275027477596,,1,361713,BOOKSTACKS,4WK/SEMSTR,-,1994,12/16/1996,8/26/2013,63
PS152 .D6 1977,PS152.D61977,The feminization of American culture / Ann Douglas,The feminization of American culture / Ann Do…,DOHENY,"Douglas, Ann, 1942-",31275002331586,1,636615,BOOKSTACKS,4WK/SEMSTR,1st ed.,1977,4/24/2013,110,,PS152 .D6 1977,PS152.D61977,The feminization of American culture / Ann Douglas,LEAVEY,31275000824301,,1,636615,BOOKSTACKS,4WK/SEMSTR,1st ed.,1977,9/25/1996,10/12/2005,63
PR2807.A2 E4 1985,PR2807.A2E41985,"Hamlet, Prince of Denmark / edited by Philip Edwards","Hamlet, Prince of Denmark / edited by Philip …",DOHENY,"Shakespeare, William, 1564-1616",31275016736242,1,613772,BOOKSTACKS,4WK/SEMSTR,-,1985,5/7/2013,49,,PR2807.A2 E4 1985,PR2807.A2E41985,"Hamlet, Prince of Denmark / edited by Philip Edwards",LEAVEY,31275016937568,,1,613772,BOOKSTACKS,4WK/SEMSTR,-,1985,9/25/1996,4/5/2014,63
PN98.S7 C8,PN98.S7C8,"Structuralist poetics : structuralism, linguistics, and the study of literature / Jonathan Culler","Structuralist poetics : structuralism, lingui…",DOHENY,"Culler, Jonathan D",31275003269769,1,632905,BOOKSTACKS,4WK/SEMSTR,-,1975,11/6/2013,75,,PN98.S7 C8,PN98.S7C8,"Structuralist poetics : structuralism, linguistics, and the study of literature / Jonathan Culler",LEAVEY,31275002251735,,1,632905,BOOKSTACKS,4WK/SEMSTR,-,1975,9/25/1996,1/17/2007,63
PN98.S7 C8,PN98.S7C8,"Structuralist poetics : structuralism, linguistics, and the study of literature / Jonathan Culler","Structuralist poetics : structuralism, lingui…",DOHENY,"Culler, Jonathan D",31275000460304,1,632905,BOOKSTACKS,4WK/SEMSTR,-,1975,11/7/2013,69,,PN98.S7 C8,PN98.S7C8,"Structuralist poetics : structuralism, linguistics, and the study of literature / Jonathan Culler",LEAVEY,31275002251735,,1,632905,BOOKSTACKS,4WK/SEMSTR,-,1975,9/25/1996,1/17/2007,63
H33 .W36 1958,H33.W361958,"From Max Weber : essays in sociology / translated, edited, and with an introd., by H. H. Gerth and C. Wright Mills",From Max Weber : essays in sociology / transl…,GRANDDEPOS,"Weber, Max, 1864-1920",31275006161575,1,37696,BOOKSTACKS,4WK/SEMSTR,-,1958,1/14/2014,3,,H33 .W36 1958,H33.W361958,"From Max Weber : essays in sociology / translated, edited, and with an introd., by H. H. Gerth and C. Wright Mills",LEAVEY,31275000815416,,1,37696,BOOKSTACKS,4WK/SEMSTR,-,1958,9/23/1996,2/2/2014,63
HQ1154 .F683 1993,HQ1154.F6831993,"White women, race matters : the social construction of whiteness / Ruth Frankenberg","White women, race matters : the social constr…",DOHENY,"Frankenberg, Ruth",31275023426951,1,670466,BOOKSTACKS,4WK/SEMSTR,-,1993,9/3/2014,74,,HQ1154 .F683 1993,HQ1154.F6831993,"White women, race matters : the social construction of whiteness / Ruth Frankenberg",LEAVEY,31275026477902,,1,670466,BOOKSTACKS,4WK/SEMSTR,-,1993,9/25/1996,11/27/2012,63
HB139 .W66 1979,HB139.W661979,"Econometrics / Ronald J. Wonnacott, Thomas H. Wonnacott","Econometrics / Ronald J. Wonnacott, Thomas H.…",DOHENY,"Wonnacott, Ronald J",31275005923215,1,643050,BOOKSTACKS,4WK/SEMSTR,2d ed.,1979,10/9/2014,86,,HB139 .W66 1979,HB139.W661979,"Econometrics / Ronald J. Wonnacott, Thomas H. Wonnacott",LEAVEY,31275006620828,,1,643050,BOOKSTACKS,4WK/SEMSTR,2d ed.,1979,9/25/1996,11/2/2010,63
BF431.G244 1983,BF431.G2441983,Frames of mind : the theory of multiple intelligences / Howard Gardner,Frames of mind : the theory of multiple intel…,GRANDDEPOS,"Gardner, Howard, 1943-",31275050947002,1,613198,BOOKSTACKS,4WK/SEMSTR,-,1983,,0,,BF431.G244 1983,BF431.G2441983,Frames of mind : the theory of multiple intelligences / Howard Gardner,LEAVEY,31275015279848,,1,613198,BOOKSTACKS,4WK/SEMSTR,-,1983,9/25/1996,1/24/2008,63
D25 .K43 1976,D25.K431976,The face of battle / John Keegan,The face of battle / John Keegan…,GRANDDEPOS,"Keegan, John, 1934-2012",31275001072504,1,635152,BOOKSTACKS,4WK/SEMSTR,-,1976,4/25/2003,28,,D25 .K43 1976,D25.K431976,The face of battle / John Keegan,LEAVEY,31275005916466,,1,635152,BOOKSTACKS,4WK/SEMSTR,-,1976,9/25/1996,7/9/2008,62
BF637.C45 F57,BF637.C45F57,Perspectives on human communication / B. Aubrey Fisher,Perspectives on human communication / B. Aubr…,DOHENY,"Fisher, B. Aubrey, 1937-",31275000631722,1,637124,BOOKSTACKS,4WK/SEMSTR,-,1978,9/8/2006,15,,BF637.C45 F57,BF637.C45F57,Perspectives on human communication / B. Aubrey Fisher,LEAVEY,31275001284083,,1,637124,BOOKSTACKS,4WK/SEMSTR,-,1978,9/25/1996,11/11/2005,62
BM645.P7 K87,BM645.P7K87,When bad things happen to good people / Harold S. Kushner,When bad things happen to good people / Harol…,DOHENY,"Kushner, Harold S",31275017114019,2,612079,BOOKSTACKS,4WK/SEMSTR,-,1981,3/25/2007,40,,BM645.P7 K87,BM645.P7K87,When bad things happen to good people / Harold S. Kushner,LEAVEY,31275017919854,,2,612079,BOOKSTACKS,4WK/SEMSTR,-,1981,9/25/1996,3/3/2010,62
D25 .K43 1976,D25.K431976,The face of battle / John Keegan,The face of battle / John Keegan…,VKC,"Keegan, John, 1934-2012",31275006228382,1,635152,BOOKSTACKS,4WK/SEMSTR,-,1976,1/4/2010,25,,D25 .K43 1976,D25.K431976,The face of battle / John Keegan,LEAVEY,31275005916466,,1,635152,BOOKSTACKS,4WK/SEMSTR,-,1976,9/25/1996,7/9/2008,62
HQ1170 .S1413 1982,HQ1170.S14131982,The hidden face of Eve : women in the Arab world / Nawal el Saadawi ; translated and edited by Sherif Hetata ; foreword by Irene L. Gendzier,The hidden face of Eve : women in the Arab wo…,DOHENY,"Saʻdāwī, Nawāl",31275002648179,1,456961,BOOKSTACKS,4WK/SEMSTR,-,1982,4/28/2010,62,,HQ1170 .S1413 1982,HQ1170.S14131982,The hidden face of Eve : women in the Arab world / Nawal el Saadawi ; translated and edited by Sherif Hetata ; foreword by Irene L. Gendzier,LEAVEY,31275002647262,,1,456961,BOOKSTACKS,4WK/SEMSTR,-,1982,9/24/1996,9/1/2005,62
E184.A1 F745 1994,E184.A1F7451994,From different shores : perspectives on race and ethnicity in America / edited by Ronald Takaki,From different shores : perspectives on race …,DOHENY,"Takaki, Ronald T., 1939-2009",31275024216088,1,55645,BOOKSTACKS,4WK/SEMSTR,2nd ed.,1994,11/8/2012,54,,E184.A1 F745 1994,E184.A1F7451994,From different shores : perspectives on race and ethnicity in America / edited by Ronald Takaki,LEAVEY,31275026339912,,1,55645,BOOKSTACKS,4WK/SEMSTR,2nd ed.,1994,9/23/1996,3/22/2012,62
E183.8.I55 L42 1981,E183.8.I55L421981,"Debacle, the American failure in Iran / Michael Ledeen & William Lewis","Debacle, the American failure in Iran / Micha…",VKC,"Ledeen, Michael Arthur, 1941-",31275001804120,1,648039,BOOKSTACKS,4WK/SEMSTR,1st ed.,1981,12/16/1982,0,,E183.8.I55 L42 1981,E183.8.I55L421981,"Debacle, the American failure in Iran / Michael Ledeen & William Lewis",LEAVEY,31275001469627,,1,648039,BOOKSTACKS,4WK/SEMSTR,1st ed.,1981,9/25/1996,4/18/2004,61
PS3511.I9 Z95 1980,PS3511.I9Z951980,F. Scott Fitzgerald and the art of social fiction / Brian Way,F. Scott Fitzgerald and the art of social fic…,GRANDDEPOS,"Way, Brian",31275001534602,1,645454,BOOKSTACKS,4WK/SEMSTR,-,1980,5/12/1999,52,,PS3511.I9 Z95 1980,PS3511.I9Z951980,F. Scott Fitzgerald and the art of social fiction / Brian Way,LEAVEY,31275006057153,,1,645454,BOOKSTACKS,4WK/SEMSTR,-,1980,9/25/1996,1/11/2005,61
BF199 .S55,BF199.S55,Reflections on behaviorism and society / B. F. Skinner,Reflections on behaviorism and society / B. F…,DOHENY,"Skinner, B. F. (Burrhus Frederic), 1904-1990",31275020965365,1,640069,BOOKSTACKS,4WK/SEMSTR,-,1978,5/18/1999,10,,BF199 .S55,BF199.S55,Reflections on behaviorism and society / B. F. Skinner,LEAVEY,31275000869579,,1,640069,BOOKSTACKS,4WK/SEMSTR,-,1978,9/25/1996,3/8/2007,61
HQ1154 .M5,HQ1154.M5,Sexual politics / Kate Millett,Sexual politics / Kate Millett…,GRANDDEPOS,"Millett, Kate",31275002877422,1,37254,BOOKSTACKS,4WK/SEMSTR,[1st ed.],1970,8/31/1999,28,,HQ1154 .M5,HQ1154.M5,Sexual politics / Kate Millett,LEAVEY,31275016998636,,1,37254,BOOKSTACKS,4WK/SEMSTR,[1st ed.],1970,9/23/1996,4/22/2011,61
BF199 .S55,BF199.S55,Reflections on behaviorism and society / B. F. Skinner,Reflections on behaviorism and society / B. F…,GRANDDEPOS,"Skinner, B. F. (Burrhus Frederic), 1904-1990",31275000609157,1,640069,BOOKSTACKS,4WK/SEMSTR,-,1978,2/19/2002,17,,BF199 .S55,BF199.S55,Reflections on behaviorism and society / B. F. Skinner,LEAVEY,31275000869579,,1,640069,BOOKSTACKS,4WK/SEMSTR,-,1978,9/25/1996,3/8/2007,61
BJ1421 .B64,BJ1421.B64,Lying : moral choice in public and private life / by Sissela Bok,Lying : moral choice in public and private li…,GRANDDEPOS,"Bok, Sissela",31275006299078,1,639463,BOOKSTACKS,4WK/SEMSTR,1st ed.,1978,10/7/2004,28,,BJ1421 .B64,BJ1421.B64,Lying : moral choice in public and private life / by Sissela Bok,LEAVEY,31275000867110,,1,639463,BOOKSTACKS,4WK/SEMSTR,1st ed.,1978,9/25/1996,5/9/2011,61
PS3511.I9 Z95 1980,PS3511.I9Z951980,F. Scott Fitzgerald and the art of social fiction / Brian Way,F. Scott Fitzgerald and the art of social fic…,DOHENY,"Way, Brian",31275021663308,1,645454,BOOKSTACKS,4WK/SEMSTR,-,1980,10/31/2005,14,,PS3511.I9 Z95 1980,PS3511.I9Z951980,F. Scott Fitzgerald and the art of social fiction / Brian Way,LEAVEY,31275006057153,,1,645454,BOOKSTACKS,4WK/SEMSTR,-,1980,9/25/1996,1/11/2005,61
ND259.K33 R48 1994,ND259.K33R481994,Frida Kahlo in Mexico / Robin Richmond,Frida Kahlo in Mexico / Robin Richmond…,AFA,"Richmond, Robin",31275026084997,1,961213,BOOKSTACKS,4WK/SEMSTR,-,1994,4/8/2009,58,,ND259.K33 R48 1994,ND259.K33R481994,Frida Kahlo in Mexico / Robin Richmond,LEAVEY,31275027581991,,1,961213,BOOKSTACKS,4WK/SEMSTR,-,1994,12/16/1996,11/19/2014,61
BL1840 .N55,BL1840.N55,"Confucianism in action. Edited by David S. Nivison and Arthur F. Wright, with contributions by Wm. Theodore De Bary [and others",Confucianism in action. Edited by David S. Ni…,DOHENY,"Nivison, David S. ed",31275000209743,1,624245,BOOKSTACKS,4WK/SEMSTR,-,1959,7/9/2009,66,,BL1840 .N55,BL1840.N55,"Confucianism in action. Edited by David S. Nivison and Arthur F. Wright, with contributions by Wm. Theodore De Bary [and others",LEAVEY,31275001360065,,1,624245,BOOKSTACKS,4WK/SEMSTR,-,1959,9/25/1996,12/5/2006,61
BF109.L43 A37 1982,BF109.L43A371982,"Changing my mind, among others : lifetime writings / selected and introduced by the author, Timothy Leary","Changing my mind, among others : lifetime wri…",DOHENY,"Leary, Timothy, 1920-1996",31275002599331,1,649821,BOOKSTACKS,4WK/SEMSTR,-,1982,5/8/2010,58,,BF109.L43 A37 1982,BF109.L43A371982,"Changing my mind, among others : lifetime writings / selected and introduced by the author, Timothy Leary",LEAVEY,31275002612191,,1,649821,BOOKSTACKS,4WK/SEMSTR,-,1982,9/25/1996,7/27/2010,61
ML3470 .O5 1990,ML3470.O51990,"On record : rock, pop, and the written word / Simon Frith and Andrew Goodwin, editors","On record : rock, pop, and the written word /…",MUSIC,"Frith, Simon, 1946-",31275021182085,1,886115,BOOKSTACKS,4WK/SEMSTR,1st ed.,1990,9/8/2011,75,,ML3470 .O5 1990,ML3470.O51990,"On record : rock, pop, and the written word / Simon Frith and Andrew Goodwin, editors",LEAVEY,31275021801403,,1,886115,BOOKSTACKS,4WK/SEMSTR,1st ed.,1990,9/26/1996,4/17/2011,61
PA6280 .A1 1986,PA6280.A11986,Philippics / Cicero ; edited and translated by D.R. Shackleton Bailey,Philippics / Cicero ; edited and translated b…,DOHENY,"Cicero, Marcus Tullius",31275018079716,1,656162,BOOKSTACKS,4WK/SEMSTR,-,1986,7/9/2012,55,,PA6280 .A1 1986,PA6280.A11986,Philippics / Cicero ; edited and translated by D.R. Shackleton Bailey,LEAVEY,31275019271262,,1,656162,BOOKSTACKS,4WK/SEMSTR,-,1986,9/25/1996,12/15/2010,61
HM291 .A343 1992,HM291.A3431992,The Adoring audience : fan culture and popular media / edited by Lisa A. lewis,The Adoring audience : fan culture and popula…,GRANDDEPOS,"Lewis, Lisa A",31275044419266,1,668006,BOOKSTACKS,4WK/SEMSTR,-,1992,4/29/2013,8,,HM291 .A343 1992,HM291.A3431992,The Adoring audience : fan culture and popular media / edited by Lisa A. lewis,LEAVEY,31275026419490,,1,668006,BOOKSTACKS,4WK/SEMSTR,-,1992,9/25/1996,11/21/2014,61
