Call Number,Call Number (Formatted),Title,Author,Barcode,Library,Home Location,Current Location,Year,Date Added,Last Check-Out,Check-Outs,,
TR147 .C49 2001,TR147.C492001,Digital photography handbook / Mark L. Chambers,"Chambers, Mark A",31275035682104,LEAVEY,BOOKSTACKS,BOOKSTACKS,2001,11/2/2001,3/17/2010,13,,
TR146 .W167 2000,TR146.W1672000,Exploring photography / by Richard J. Walker and Robert E. Walker,"Walker, Richard J., 1957-",31275035595645,LEAVEY,BOOKSTACKS,BOOKSTACKS,2000,4/4/2001,3/21/2008,10,,
TR146 .J3 1985,TR146.J31985,"Photography in focus : a basic text / Mark Jacobs, Ken Kokrda","Jacobs, Mark",31275022779608,LEAVEY,BOOKSTACKS,BOOKSTACKS,1985,9/25/1996,5/8/2011,18,,
TR146 .H19 2001,TR146.H192001,"Handbook of photography / James A. Folts, Ronald P. Lovell, Fred C. Zwahlen, Jr","Folts, James A",31275035647727,LEAVEY,BOOKSTACKS,BOOKSTACKS,2001,12/20/2001,11/7/2011,31,,
TR145 .P475 2002,TR145.P4752002,Photography / Barbara London ... [et al.],"London, Barbara, 1936-",31275036633254,LEAVEY,BOOKSTACKS,BOOKSTACKS,2002,3/7/2002,12/7/2010,38,,
TR140.P35 A34 2009,TR140.P35A342009,To smile in autumn : a memoir / Gordon Parks ; foreword by Alexs D. Pate,"Parks, Gordon",31275046458668,LEAVEY,BOOKSTACKS,BOOKSTACKS,2009,6/9/2010,Never,0,,
TR140.M347 D36 1996,TR140.M347D361996,Playing with the edge : the photographic achievement of Robert Mapplethorpe / Arthur C. Danto,"Danto, Arthur Coleman, 1924-2013",31275027590885,LEAVEY,BOOKSTACKS,BOOKSTACKS,1996,12/16/1996,4/14/2010,13,,
TR140.L28 O47,TR140.L28O47,The instant image : Edwin Land and the Polaroid experience / Mark Olshaker,"Olshaker, Mark, 1951-",31275001622514,LEAVEY,BOOKSTACKS,BOOKSTACKS,1978,9/25/1996,4/9/2007,22,,
TR140.A76 A3 1995,TR140.A76A31995,"Eve Arnold, in retrospect","Arnold, Eve",31275027597583,LEAVEY,BOOKSTACKS,BOOKSTACKS,1995,12/8/1996,11/3/2010,13,,
TP823 .H66 2009,TP823.H662009,The ceramic spectrum : a simplified approach to glaze and color development / Robin Hopper,"Hopper, Robin",31275053634672,LEAVEY,BOOKSTACKS,BOOKSTACKS,2009,3/16/2012,Never,0,,
TP577 .T455 1997,TP577.T4551997,The great American microbrewery beer book / Jennifer Trainer Thompson ; photographs by Kristen Brochmann,"Thompson, Jennifer Trainer",31275012166469,LEAVEY,BOOKSTACKS,BOOKSTACKS,1997,1/13/1998,12/1/2008,12,,
TP568 .D53 1998x,TP568.D531998x,The dictionary of beer and brewing / compiled by Dan Rabin and Carl Forget ; preface by Gregg Smith,"Rabin, Dan",31275029766483,LEAVEY,BOOKSTACKS,BOOKSTACKS,1998,12/22/1998,12/1/2008,11,,
TP557 .M67,TP557.M67,Adventures in the wine country,"Morgan, Jefferson",31275000850090,LEAVEY,BOOKSTACKS,BOOKSTACKS,1971,9/25/1996,2/10/2003,25,,
TP548 .O76 1999,TP548.O761999,The Oxford companion to wine / edited by Jancis Robinson,"Robinson, Jancis",31275035166439,LEAVEY,BOOKSTACKS,BOOKSTACKS,1999,4/21/2000,10/22/2003,3,,
TP359.H8 H68 2009,TP359.H8H682009,Hydrogen & fuel cells : advances in transportation and power / Michael Frank Hordeski,"Hordeski, Michael F",31275046411550,LEAVEY,BOOKSTACKS,BOOKSTACKS,2009,4/22/2009,4/3/2011,4,,
TP359.H8 H633 2001,TP359.H8H6332001,"Tomorrow's energy : hydrogen, fuel cells, and the prospects for a cleaner planet / Peter Hoffmann","Hoffmann, Peter, 1935-",31275035730853,LEAVEY,BOOKSTACKS,BOOKSTACKS,2001,3/26/2002,7/6/2010,25,,
TP359.B46 P34 2005,TP359.B46P342005,Biodiesel : growing a new energy economy / Greg Pahl ; foreword by Bill McKibben,"Pahl, Greg",31275039992897,LEAVEY,BOOKSTACKS,BOOKSTACKS,2005,8/15/2005,4/23/2009,5,,
TP317.U5 K45 2008,TP317.U5K452008,Energy in America : a tour of our fossil fuel culture and beyond / by Ingrid Kelley,"Kelley, Ingrid",31275046387685,LEAVEY,BOOKSTACKS,BOOKSTACKS,2008,4/6/2009,Never,0,,
TP272 .K45 2004,TP272.K452004,"Gunpowder : alchemy, bombards, and pyrotechnics : the history of the explosive that changed the world / Jack Kelly","Kelly, Jack, 1949-",31275039403796,LEAVEY,BOOKSTACKS,BOOKSTACKS,2004,11/11/2004,Never,0,,
TP249 .W35 2004,TP249.W352004,Radiation and modern life : fulfilling Marie Curie's dream / Alan E. Waltar ; introduction by Helene Langevin-Joliot,"Waltar, Alan E. (Alan Edward), 1939-",31275041290843,LEAVEY,BOOKSTACKS,BOOKSTACKS,2004,7/22/2005,4/23/2009,1,,
TP248.65.F66 M37 2000,TP248.65.F66M372000,Pandora's picnic basket : the potential and hazards of genetically modified foods / Alan McHughen,"McHughen, Alan",31275034325143,LEAVEY,BOOKSTACKS,BOOKSTACKS,2000,10/4/2000,11/10/2010,26,,
TP248.65.F66 F436 2004,TP248.65.F66F4362004,Mendel in the kitchen : a scientist's view of genetically modified foods / Nina V. Fedoroff and Nancy Marie Brown,"Fedoroff, Nina V. (Nina Vsevolod), 1942-",31275041294050,LEAVEY,BOOKSTACKS,BOOKSTACKS,2004,7/26/2005,12/8/2010,9,,
TP248.6 .B695 2003,TP248.6.B6952003,"Science, seeds and cyborgs : biotechnology and the appropriation of life / Finn Bowring","Bowring, Finn, 1969-",31275037770816,LEAVEY,BOOKSTACKS,BOOKSTACKS,2003,4/2/2003,12/8/2010,16,,
TP248.23 .R545 2005,TP248.23.R5452005,Rights and liberties in the biotech age : why we need a genetic bill of rights / edited by Sheldon Krimsky and Peter Shorett,"Krimsky, Sheldon",31275039992822,LEAVEY,BOOKSTACKS,BOOKSTACKS,2005,8/15/2005,9/15/2010,4,,
TP248.215 .W35 2007,TP248.215.W352007,Biotechnology demystified / Sharon Walker,"Walker, Sharon, Ph. D",31275045585347,LEAVEY,BOOKSTACKS,BOOKSTACKS,2007,5/30/2008,8/30/2010,9,,
TP248.215 .S56 2006,TP248.215.S562006,Biotechnology 101 / Brian Robert Shmaefsky,"Shmaefsky, Brian",31275047055299,LEAVEY,BOOKSTACKS,BOOKSTACKS,2006,2/25/2010,4/13/2011,11,,
TP248.2 .N35 2008,TP248.2.N352008,Introduction to biotechnology and genetic engineering / A.J. Nair,"Nair, A. J",31275040058126,LEAVEY,BOOKSTACKS,BOOKSTACKS,2008,11/17/2008,2/10/2009,2,,
TP248.16 .E539 2000 v.2,TP248.16.E5392000v.2,"Encyclopedia of ethical, legal, and policy issues in biotechnology / [edited by] Thomas H. Murray, Maxwell J. Mehlman","Murray, Thomas H. (Thomas Harold), 1926-",31275034485699,LEAVEY,BOOKSTACKS,BOOKSTACKS,2000,11/22/2000,1/24/2011,18,,
TP248.16 .E539 2000 v.1,TP248.16.E5392000v.1,"Encyclopedia of ethical, legal, and policy issues in biotechnology / [edited by] Thomas H. Murray, Maxwell J. Mehlman","Murray, Thomas H. (Thomas Harold), 1926-",31275034485707,LEAVEY,BOOKSTACKS,BOOKSTACKS,2000,11/22/2000,1/24/2011,19,,
TP1180.B55 S74 2002,TP1180.B55S742002,Green plastics : an introduction to the new science of biodegradable plastics / E.S. Stevens,"Stevens, E. S. (Eugene S.), 1938-",31275035727578,LEAVEY,BOOKSTACKS,BOOKSTACKS,2002,3/14/2002,8/31/2007,10,,
TL785.8.L3 T67 2002,TL785.8.L3T672002,To reach the high frontier : a history of U.S. launch vehicles / edited by Roger D. Launius and Dennis R. Jenkins,"Launius, Roger D",31275037777274,LEAVEY,BOOKSTACKS,BOOKSTACKS,2002,4/9/2003,Never,0,,
TL783.5 .D95 2002,TL783.5.D952002,Project Orion : the true story of the atomic spaceship / George Dyson,"Dyson, George, 1953-",31275036665140,LEAVEY,BOOKSTACKS,BOOKSTACKS,2001,6/7/2002,1/19/2010,7,,
TL565.H325 2004,TL565.H3252004,The bird is on the wing : aerodynamics and the progress of the American airplane / James R. Hansen,"Hansen, James R",31275038852712,LEAVEY,BOOKSTACKS,BOOKSTACKS,2004,4/7/2004,Never,0,,
TL515 .H455 2001,TL515.H4552001,A brief history of flight : from balloons to Mach 3 and beyond / T.A. Heppenheimer,"Heppenheimer, T. A., 1947-",31275035581629,LEAVEY,BOOKSTACKS,BOOKSTACKS,2001,3/7/2001,11/29/2006,8,,
TL515 .H22 2003,TL515.H222003,Taking flight : inventing the aerial age from antiquity through the First World War / Richard P. Hallion,"Hallion, Richard",31275037767663,LEAVEY,BOOKSTACKS,BOOKSTACKS,2003,9/3/2003,5/17/2010,4,,
TL515 .G814 2002,TL515.G8142002,Aviation : the first 100 years / Bill Gunston,"Gunston, Bill",31275036694116,LEAVEY,BOOKSTACKS,BOOKSTACKS,2002,5/22/2002,2/5/2007,3,,
TL515 .C76 2003,TL515.C762003,Wings : a history of aviation from kites to the space age / Tom D. Crouch,"Crouch, Tom D",31275038857786,LEAVEY,BOOKSTACKS,BOOKSTACKS,2003,4/14/2004,3/15/2011,7,,
TL515 .C38323 2002,TL515.C383232002,A century of triumph : the history of aviation / Christopher Chant ; illustrations by John Batchelor,"Chant, Christopher",31275037309722,LEAVEY,BOOKSTACKS,BOOKSTACKS,2002,12/12/2002,3/15/2011,5,,
TL440 .H64 1975,TL440.H641975,Motorcycle panorama; a pictorial review of design and development / Bob Holliday,"Holliday, Bob",31275000806464,LEAVEY,BOOKSTACKS,BOOKSTACKS,1975,9/25/1996,2/15/2005,30,,
TL430 .C877 1996,TL430.C8771996,Cuthbertson's all-in-one bike repair manual : for both road and mountain bikes / Tom Cuthbertson ; illustrated by Rick Morrall,"Cuthbertson, Tom",31275027914440,LEAVEY,BOOKSTACKS,BOOKSTACKS,1996,12/8/1996,2/2/2004,17,,
TL410 .W5 1980,TL410.W51980,Bicycle / John Wilcockson,"Wilcockson, John",31275001901652,LEAVEY,BOOKSTACKS,BOOKSTACKS,1980,9/25/1996,6/14/2009,35,,
TL215.V6 F75,TL215.V6F75,The VW Beetle / Robin Fry,"Fry, Robin",31275003292183,LEAVEY,BOOKSTACKS,BOOKSTACKS,1980,9/25/1996,8/10/1993,14,,
TL215 .E92 S53 1996,TL215.E92S531996,The car that could : the inside story of GM's revolutionary electric vehicle / Michael Shnayerson,"Shnayerson, Michael",31275028370337,LEAVEY,BOOKSTACKS,BOOKSTACKS,1996,2/20/1997,12/7/2010,27,,
TK7881.4 .W66 2011,TK7881.4.W662011,Audio production and postproduction / Woody Woodhall,"Woodhall, Woody",31275050218867,LEAVEY,BOOKSTACKS,BOOKSTACKS,2011,10/11/2010,1/12/2011,1,,
TK7881.4 .M674 2004,TK7881.4.M6742004,"Sound recording : the life story of a technology / David L. Morton, Jr","Morton, David, 1964-",31275040000102,LEAVEY,BOOKSTACKS,BOOKSTACKS,2004,3/29/2005,6/10/2005,1,,
TK7867 .S639 2008,TK7867.S6392008,Introductory circuits / Robert Spence,"Spence, Robert, 1933-",31275046046596,LEAVEY,BOOKSTACKS,BOOKSTACKS,2008,4/13/2009,Never,0,,
TK6675 .B72,TK6675.B72,Broadcasting cable yearbook,,1016931-10001,LEAVEY,BOOKSTACKS,BOOKSTACKS,1980,9/24/2002,Never,0,,
TK6675 .B7,TK6675.B7,Broadcasting,,1012329-3001,LEAVEY,BOOKSTACKS,BOOKSTACKS,19,9/23/2002,Never,0,,
TK6550 .D47,TK6550.D47,Radio and television workshop manual; a practical guide to creative radio and television [by ̄Sidney A. Dimond [and ̄Donald M. Andersson,"Dimond, Sidney A",31275000547084,LEAVEY,BOOKSTACKS,BOOKSTACKS,1952,9/25/1996,2/12/2009,10,,
TK6165 .K23 1983,TK6165.K231983,The phone book : the most complete guide to the changing world of telephones / by Larry Kahaner & Alan Green,"Kahaner, Larry",31275015255749,LEAVEY,BOOKSTACKS,BOOKSTACKS,1983,6/1/1997,11/8/1999,10,,
TK5105.8883 .N67 2008,TK5105.8883.N672008,Joomla! : a user's guide : building a successful Joomla! powered Website / Barrie M. North,"North, Barrie M",31275046412632,LEAVEY,BOOKSTACKS,BOOKSTACKS,2008,5/4/2009,2/21/2010,3,,
TK5105.888 .W5536 2006,TK5105.888.W55362006,"The non-designer's Web book : an easy guide to creating, designing, and posting your own Web site / Robin Williams & John Tollett","Williams, Robin, 1953-",31275040121841,LEAVEY,BOOKSTACKS,BOOKSTACKS,2006,10/4/2005,12/22/2010,29,,
TK5105.888 .T48 2001,TK5105.888.T482001,"HTTP essentials : protocols for secure, scaleable, Web sites / Stephen A. Thomas","Thomas, Stephen A., 1962-",31275034605056,LEAVEY,BOOKSTACKS,BOOKSTACKS,2001,8/22/2001,6/30/2009,6,,
TK5105.888 .S257 2004,TK5105.888.S2572004,The Internet writer's handbook / Martha C. Sammons,"Sammons, Martha C., 1949-",31275039133773,LEAVEY,BOOKSTACKS,BOOKSTACKS,2004,6/16/2004,11/15/2010,2,,
TK5105.888 .S23 1997,TK5105.888.S231997,"The 7 keys to effective Web sites / David Sachs, Henry Stair","Sachs, David, 1947-",31275012217684,LEAVEY,BOOKSTACKS,BOOKSTACKS,1997,11/8/1997,12/19/2006,18,,
TK5105.888 .N55 2000,TK5105.888.N552000,Designing Web usability / Jakob Nielsen,"Nielsen, Jakob, 1957-",31275034744921,LEAVEY,BOOKSTACKS,BOOKSTACKS,2000,9/14/2000,Never,0,,
TK5102.9 .M38 1996,TK5102.9.M381996,A simple approach to digital signal processing / Craig Marven and Gillian Ewers,"Marven, Craig",31275027994087,LEAVEY,BOOKSTACKS,BOOKSTACKS,1996,12/8/1996,8/25/2004,31,,
TK5102.2.O88 2011,TK5102.2.O882011,Networking : communicating with bodies and machines in the nineteenth century / Laura Otis,"Otis, Laura, 1961-",31275049532147,LEAVEY,BOOKSTACKS,BOOKSTACKS,2011,12/16/2011,Never,0,,
TK5101 .R595 2007,TK5101.R5952007,Introduction to telecommunications / M.A. Rosengrant,"Rosengrant, M. A. (Martha A.)",31275044570761,LEAVEY,BOOKSTACKS,BOOKSTACKS,2007,2/8/2007,Never,0,,
TK454 .I78 2002,TK454.I782002,Basic engineering circuit analysis / J. David Irwin,"Irwin, J. David, 1939-",31275035669143,LEAVEY,BOOKSTACKS,BOOKSTACKS,2002,11/28/2001,1/24/2011,42,,
TK151 .R7519 1997,TK151.R75191997,Electricians pocket manual / by Paul Rosenberg,"Rosenberg, Paul, 1958-",31275012092384,LEAVEY,BOOKSTACKS,BOOKSTACKS,1997,11/13/1997,4/11/2006,37,,
TK146 .B795 2002,TK146.B7952002,"Introduction to electricity, electronics, and electromagnetics / Robert L. Boylestad, Louis Nashelsky","Boylestad, Robert L",31275036694421,LEAVEY,BOOKSTACKS,BOOKSTACKS,2002,5/22/2002,5/31/2004,25,,
TJ280.7 .G443 2005,TJ280.7.G4432005,Geothermal energy : utilization and technology / edited by Mary H. Dickson and Mario Fanelli,"Dickson, Mary H",31275048623467,LEAVEY,BOOKSTACKS,BOOKSTACKS,2005,5/18/2010,2/6/2011,2,,
TJ213 .N497 1995,TJ213.N4971995,Control systems engineering / Norman S. Nise,"Nise, Norman S",31275027075242,LEAVEY,BOOKSTACKS,BOOKSTACKS,1995,12/8/1996,5/6/2009,50,,
TJ211 .I28 2005,TJ211.I282005,Robots : from science fiction to technological revolution / Daniel Ichbiah ; translated from the French by Ken Kincaid,"Ichbiah, Daniel",31275040033004,LEAVEY,BOOKSTACKS,BOOKSTACKS,2005,12/8/2005,Never,0,,
TJ211 .A83 1985,TJ211.A831985,"Robots, machines in man's image / Isaac Asimov and Karen A. Frenkel","Asimov, Isaac, 1920-1992",31275016834138,LEAVEY,BOOKSTACKS,BOOKSTACKS,1985,9/25/1996,4/9/2007,32,,
TJ211.3 .V59 1997,TJ211.3.V591997,Visual navigation : from biological systems to unmanned ground vehicles / edited by Yiannis Aloimonos,"Aloimonos, John",31275012095809,LEAVEY,BOOKSTACKS,BOOKSTACKS,1997,1/7/1998,4/27/2011,8,,
TJ163.2 .W33613 2008,TJ163.2.W336132008,"Energy : the world's race for resources in the 21st century / Hermann-Josef Wagner ; translated by Phil Hill ; Klaus Wiegandt, general editor","Wagner, Hermann-Josef, 1950-",31275046945532,LEAVEY,BOOKSTACKS,BOOKSTACKS,2008,2/25/2010,Never,0,,
TJ163.2 .C625 2008,TJ163.2.C6252008,Energy and climate change : creating a sustainable future / David A. Coley,"Coley, David A",31275046412749,LEAVEY,BOOKSTACKS,BOOKSTACKS,2008,5/4/2009,9/4/2009,1,,
TH9503 .S53,TH9503.S53,Dennis Smith's History of firefighting in America : 300 years of courage,"Smith, Dennis, 1940-",31275000697459,LEAVEY,BOOKSTACKS,BOOKSTACKS,1978,9/25/1996,11/24/2003,23,,
TH9410 .C49 1999,TH9410.C491999,Don't panic : the psychology of emergency egress and ingress / Jerome M. Chertkoff and Russell H. Kushigian,"Chertkoff, Jerome M., 1936-",31275012594157,LEAVEY,BOOKSTACKS,BOOKSTACKS,1999,8/10/1999,9/21/2010,4,,
TH9310.5 .F54 2002,TH9310.5.F542002,Fire fighters : stories of survival from the front lines of firefighting / edited by Clint Willis,"Willis, Clint",31275036731439,LEAVEY,BOOKSTACKS,BOOKSTACKS,2002,7/31/2002,11/24/2003,3,,
TH9180 .F35 2000,TH9180.F352000,Blaze : the forensics of fire / Nicholas Faith,"Faith, Nicholas, 1933-",31275034446840,LEAVEY,BOOKSTACKS,BOOKSTACKS,2000,9/6/2000,12/10/2002,1,,
TH9145 .B56 1983,TH9145.B561983,Fire! : survival & prevention / William Blair ; illustrations by Allan Phillips,"Blair, William (William K.)",31275016109812,LEAVEY,BOOKSTACKS,BOOKSTACKS,1983,9/25/1996,11/24/2003,7,,
TH7414 .C475 2002,TH7414.C4752002,The solar house : passive heating and cooling / Daniel D. Chiras,"Chiras, Daniel D",31275037259703,LEAVEY,BOOKSTACKS,BOOKSTACKS,2002,1/29/2003,3/12/2010,4,,
TH1095 .Y36 1991,TH1095.Y361991,Peace of mind in earthquake country : how to save your home and life / Peter I. Yanev,"Yanev, Peter I., 1946-",31275025840852,LEAVEY,BOOKSTACKS,BOOKSTACKS,1991,9/24/1996,11/14/2010,36,,
TG25.S225 A63 1987,TG25.S225A631987,Heroes of the Golden Gate / by Charles F. Adams,"Adams, Charles F. (Charles Francis), 1927-",31275018914227,LEAVEY,BOOKSTACKS,BOOKSTACKS,1987,9/25/1996,9/6/2010,39,,
TG25.N5R37 2000,TG25.N5R372000,Six bridges : the legacy of Othmar H. Ammann / Darl Rastorfer,"Rastorfer, Darl",31275035130732,LEAVEY,BOOKSTACKS,BOOKSTACKS,2000,5/3/2000,10/24/2001,2,,
TF22 .D36 2000,TF22.D362000,"Trains across the continent : North American Railroad history / by Rudolph Daniels ; with foreword by Roger Cameron, Thomas C. White, Frank N. Wilner","Daniels, Rudolph L., 1945-",31275034599424,LEAVEY,BOOKSTACKS,BOOKSTACKS,2000,7/31/2001,11/8/2009,5,,
TD898.12.W2 G47 2002,TD898.12.W2G472002,On the home front : the Cold War legacy of the Hanford Nuclear Site / Michele Stenehjem Gerber ; with a new epilogue by the author,"Gerber, Michele Stenehjem, 1948-",31275036732254,LEAVEY,BOOKSTACKS,BOOKSTACKS,2002,7/31/2002,10/2/2010,1,,
TD898.12.W2 D36 1993,TD898.12.W2D361993,Atomic harvest : Hanford and the lethal toll of America's nuclear arsenal / Michael D'Antonio ; foreword by Stewart Udall,"D'Antonio, Michael",31275025747966,LEAVEY,BOOKSTACKS,BOOKSTACKS,1993,9/24/1996,10/2/2010,14,,
TD892 .S75 2011,TD892.S752011,"Why noise matters : a worldwide perspective on the problems, policies and solutions / John Stewart with Arline Bronzaft ... [et al.]","Stewart, John",31275054049227,LEAVEY,BOOKSTACKS,BOOKSTACKS,2011,5/21/2012,Never,0,,
TD791 .V38 2009,TD791.V382009,Waste management : a reference handbook / Jacqueline Vaughn,"Vaughn, Jacqueline",31275046058971,LEAVEY,BOOKSTACKS,BOOKSTACKS,2009,3/19/2009,4/21/2010,4,,
TD785.5 .C64 1996,TD785.5.C641996,Encyclopedia of garbage / Steve Coffel ; introducton by William L. Rathje,"Coffel, Steve",31275028895689,LEAVEY,BOOKSTACKS,BOOKSTACKS,1996,7/22/1997,10/18/2007,7,,
TD427.P4 D39 1990,TD427.P4D391990,In the wake of the Exxon Valdez : the devastating impact of the Alaska oil spill / Art Davidson,"Davidson, Art, 1943-",31275026482126,LEAVEY,BOOKSTACKS,BOOKSTACKS,1990,9/25/1996,11/12/2006,35,,
TD370 .V55 2003,TD370.V552003,Clean water : an introduction to water quality and pollution control / Kenneth M. Vigil,"Vigil, Kenneth M",31275048636790,LEAVEY,BOOKSTACKS,BOOKSTACKS,2003,9/22/2010,Never,0,,
TD353 .R56 1993,TD353.R561993,Water management in desert environments : a comparative analysis / Bruce R. Roberts,"Roberts, Bruce R. (Bruce Romer), 1951-",31275027873398,LEAVEY,BOOKSTACKS,BOOKSTACKS,1993,12/16/1996,11/28/2010,8,,
TD224.C3C37 2000,TD224.C3C372000,Drowning the dream : California's water choices at the millennium / David Carle,"Carle, David, 1950-",31275035185322,LEAVEY,BOOKSTACKS,BOOKSTACKS,2000,4/13/2000,10/14/2011,14,,
TD196.R3 M55 1990,TD196.R3M551990,"Environmental hazards : radioactive materials and wastes : a reference handbook / E. Willard Miller, Ruby M. Miller","Miller, E. Willard (Eugene Willard), 1915-2002",31275026316001,LEAVEY,BOOKSTACKS,BOOKSTACKS,1990,9/24/1996,9/2/2004,20,,
TD196.C5 J65 2003,TD196.C5J652003,The dirty dozen : toxic chemicals and the earth's future / Bruce E. Johansen,"Johansen, Bruce E. (Bruce Elliott), 1950-",31275038804762,LEAVEY,BOOKSTACKS,BOOKSTACKS,2003,11/5/2003,11/15/2005,4,,
TD195.C45 M39 1998,TD195.C45M391998,A hazardous inquiry : the Rashomon effect at Love canal / Allan Mazur,"Mazur, Allan",31275012517281,LEAVEY,BOOKSTACKS,BOOKSTACKS,1998,6/3/1998,10/31/2002,5,,
TD181.N72 N513,TD181.N72N513,Love Canal : my story / Lois Marie Gibbs ; as told to Murray Levine,"Gibbs, Lois Marie",31275002647197,LEAVEY,BOOKSTACKS,BOOKSTACKS,1981,9/25/1996,11/23/2010,45,,
TD174 .S64 1999x,TD174.S641999x,"The science of environmental pollution / Frank R. Spellman, Ph.D","Spellman, Frank R",31275035174672,LEAVEY,BOOKSTACKS,BOOKSTACKS,1999,5/12/2000,11/13/2006,8,,
TD174 .F375 1997,TD174.F3751997,Managing environmental pollution / Andrew Farmer,"Farmer, Andrew",31275012443348,LEAVEY,BOOKSTACKS,BOOKSTACKS,1997,7/28/1998,1/26/2010,24,,
TD172 .R42,TD172.R42,Environment,"Environment (Guilford, Conn.)",1032604-2001,LEAVEY,BOOKSTACKS,BOOKSTACKS,1981,9/15/2004,Never,0,,
TD171.3.C22 M666 2011,TD171.3.C22M6662011,The death and life of Monterey Bay : a story of revival / Stephen R. Palumbi and Carolyn Sotka,"Palumbi, Stephen R",31275049241210,LEAVEY,BOOKSTACKS,BOOKSTACKS,2011,5/10/2011,Never,0,,
TD170 .T34 2008,TD170.T342008,"Taking sides : clashing views on environmental issues / selected, edited, and with introductions by Thomas Easton","Easton, Thomas A",31275053839081,LEAVEY,BOOKSTACKS,BOOKSTACKS,2008,10/29/2015,Never,0,,
TD169 .E83,TD169.E83,The State of the environment,"Etat de l'environnement (Paris, France). English",955323-10001,LEAVEY,BOOKSTACKS,BOOKSTACKS,1985,6/13/2011,Never,0,,
TD169 .E83,TD169.E83,The State of the environment,"Etat de l'environnement (Paris, France). English",955323-6001,LEAVEY,BOOKSTACKS,BOOKSTACKS,1985,9/23/2002,Never,0,,
TD169 .E656,TD169.E656,Environmental viewpoints,,960028-3001,LEAVEY,BOOKSTACKS,BOOKSTACKS,1992,12/14/1996,Never,0,,
TD140.M84 D38 1993,TD140.M84D381993,Rivers in the desert : William Mulholland and the inventing of Los Angeles / Margaret Leslie Davis,"Davis, Margaret L",31275026291337,LEAVEY,BOOKSTACKS,BOOKSTACKS,1993,12/16/1996,11/24/2010,33,,
TD1050.P64 R33 1994,TD1050.P64R331994,Beyond NIMBY : hazardous waste siting in Canada and the United States / Barry G. Rabe,"Rabe, Barry George, 1957-",31275026497900,LEAVEY,BOOKSTACKS,BOOKSTACKS,1994,9/25/1996,3/31/2003,11,,
TD1050.E58F74 2000,TD1050.E58F742000,"The environmental pendulum : a quest for the truth about toxic chemicals, human health, and environmental protection / R. Allan Freeze","Freeze, R. Allan",31275035166587,LEAVEY,BOOKSTACKS,BOOKSTACKS,2000,4/21/2000,3/22/2007,16,,
TA684 .A5 1995,TA684.A51995,Manual of steel construction : allowable stress design,American Institute of Steel Construction,31275038933983,LEAVEY,BOOKSTACKS,BOOKSTACKS,1995,8/30/2004,2/10/2009,5,,
TA405 .G44 2009,TA405.G442009,Mechanics of materials,"Gere, James M",31275046401809,LEAVEY,BOOKSTACKS,BOOKSTACKS,2009,4/22/2009,5/13/2011,5,,
TA403 .S335 1998,TA403.S3351998,The substance of civilization : materials and human history from the stone age to the age of silicon / Stephen L. Sass,"Sass, Stephen L",31275012495181,LEAVEY,BOOKSTACKS,BOOKSTACKS,1998,4/29/1998,4/30/2005,4,,
TA403 .N3325 2009,TA403.N33252009,Introduction to the physics and chemistry of materials / Robert J. Naumann,"Naumann, Robert J",31275046446200,LEAVEY,BOOKSTACKS,BOOKSTACKS,2009,5/14/2009,8/25/2009,2,,
TA174 .T52 2005,TA174.T522005,In the bubble : designing in a complex world / John Thackara,"Thackara, John",31275039995833,LEAVEY,BOOKSTACKS,BOOKSTACKS,2005,9/6/2005,3/8/2008,2,,
TA166 .W53 2000,TA166.W532000,"Engineering psychology and human performance / Christopher D. Wickens, Justin G. Hollands","Wickens, Christopher D",31275034334129,LEAVEY,BOOKSTACKS,BOOKSTACKS,2000,6/22/2000,12/3/2001,1,,
TA157 .P44,TA157.P44,"Peterson's annual guides/careers. Engineering, science, and computer jobs","Peterson's Guides, Inc",973885-1001,LEAVEY,BOOKSTACKS,BOOKSTACKS,1985,12/21/1996,Never,0,,
TA140.F9 B83 2001,TA140.F9B832001,Buckminster Fuller : anthology for the new millennium / edited by Thomas T.K. Zung,"Zung, Thomas T. K",31275035595884,LEAVEY,BOOKSTACKS,BOOKSTACKS,2001,4/4/2001,7/11/2011,6,,
T47 .N67 1992,T47.N671992,Turn signals are the facial expressions of automobiles / Donald A. Norman,"Norman, Donald A",31275026292814,LEAVEY,BOOKSTACKS,BOOKSTACKS,1992,9/24/1996,5/2/2011,11,,
T47 .B52 2008,T47.B522008,"The best of technology writing 2008 / Clive Thompson, editor","Thompson, K. C. (Kenneth Clive), 1944-",31275046577582,LEAVEY,BOOKSTACKS,BOOKSTACKS,2008,12/16/2009,Never,0,,
T39 .B49 1996,T39.B491996,Biographical dictionary of the history of technology / edited by Lance Day and Ian McNeil,"Day, Lance",31275027957076,LEAVEY,BOOKSTACKS,BOOKSTACKS,1996,12/8/1996,10/23/2000,1,,
T385 .K3566 2006,T385.K35662006,"Adobe Illustrator CS2 how-tos : 100 essential techniques / David Karlins, Bruce K. Hopkins","Karlins, David",31275043977397,LEAVEY,BOOKSTACKS,BOOKSTACKS,2006,7/26/2007,Never,0,,
T36 .Z54 2000,T36.Z542000,"American women in technology : an encyclopedia / Linda Zierdt-Warshaw, Alan Winkler, and Leonard Bernstein","Zierdt-Warshaw, Linda",31275046153228,LEAVEY,BOOKSTACKS,BOOKSTACKS,2000,12/16/2008,Never,0,,
