Call Number,Call Number (Formatted),Title,Author,Barcode,Library,Home Location,Current Location,Year,Date Added,Last Check-Out,Check-Outs,,
Z471 .E25 2009,Z471.E252009,"McGraw-Hill's careers for bookworms & other literary types / Marjorie Eberts, Margaret Gisler","Eberts, Marjorie",31275046412798,LEAVEY,BOOKSTACKS,BOOKSTACKS,2009,5/4/2009,Never,0,,
Z286.E43 C38 2011,Z286.E43C382011,EPUB : straight to the point / by Elizabeth Castro,"Castro, Elizabeth",31275050219279,LEAVEY,BOOKSTACKS,BOOKSTACKS,2011,10/21/2010,4/9/2011,1,,
Z278 .G88 2011,Z278.G882011,Publishing : principles and practice / by Richard Guthrie,"Guthrie, Richard A., 1935-",31275049580047,LEAVEY,BOOKSTACKS,BOOKSTACKS,2011,1/26/2012,Never,0,,
Z271.3.B65 P46 2010,Z271.3.B65P462010,"Penguin 75 : designers, authors, commentary (the good, the bad-- ) / [edited with an introduction by Paul Buckley ; foreword by Chris Ware]","Buckley, Paul, 1965-",31275050785899,LEAVEY,BOOKSTACKS,BOOKSTACKS,2010,8/3/2010,8/24/2010,1,,
Z253 .C57,Z253.C57,The Chicago manual of style,University of Chicago. Press,993083-28001,LEAVEY,BOOKSTACKS,BOOKSTACKS,1982,12/21/1996,Never,0,,
Z253 .B368 1999x,Z253.B3681999x,The stuff type is made of / Andrew I. Bayroll,"Bayroll, Andrew I",31275029683761,LEAVEY,BOOKSTACKS,BOOKSTACKS,2000,10/20/1999,11/18/1999,2,,
Z253.532.A34 C6388 2011,Z253.532.A34C63882011,InDesign CS5 for Windows and Macintosh / Sandee Cohen,"Cohen, Sandee, 1948-",31275050836817,LEAVEY,BOOKSTACKS,BOOKSTACKS,2011,10/19/2010,8/23/2011,4,,
Z250 .P416 2010,Z250.P4162010,The complete typographer : a manual for designing with type / Will Hill,"Hill, Will, 1954-",31275051036573,LEAVEY,BOOKSTACKS,BOOKSTACKS,2010,12/8/2010,Never,0,,
Z250.A2 H45 1999,Z250.A2H451999,Typology : type design from the Victorian era to the digital age / Steven Heller and Louise Fili,"Heller, Steven",31275029808574,LEAVEY,BOOKSTACKS,BOOKSTACKS,1999,7/20/1999,5/4/2001,15,,
Z250.7 .E45 2006,Z250.7.E452006,The complete guide to digital type : creative use of typography in the digital arts / Andy Ellison,"Ellison, Andy, 1967-",31275041680977,LEAVEY,BOOKSTACKS,BOOKSTACKS,2006,9/13/2006,Never,0,,
Z246 .K36 2003,Z246.K362003,A type primer / John Kane,"Kane, John",31275037310399,LEAVEY,BOOKSTACKS,BOOKSTACKS,2003,11/20/2002,10/17/2011,11,,
Z246 .F39 2007,Z246.F392007,New typographic design  / Roger Fawcett-Tang ; with an introduction and essays by David Jury,"Fawcett-Tang, Roger",31275044753300,LEAVEY,BOOKSTACKS,BOOKSTACKS,2007,6/21/2007,10/17/2011,1,,
Z246 .A55 2011,Z246.A552011,"The fundamentals of creative design / Gavin Ambrose, Paul Harris","Ambrose, Gavin",31275054048625,LEAVEY,BOOKSTACKS,BOOKSTACKS,2011,5/18/2012,Never,0,,
Z1421 .F63,Z1421.F63,Mexican literature : a bibliography of secondary sources / by David William Foster,"Foster, David William",31275002687532,LEAVEY,BOOKSTACKS,BOOKSTACKS,1981,9/25/1996,4/28/2003,6,,
Z125.Z7 M36 2002x,Z125.Z7M362002x,Gutenberg : how one man remade the world with words / John Man,"Man, John",31275036788892,LEAVEY,BOOKSTACKS,BOOKSTACKS,2002,10/16/2002,9/1/2010,2,,
Z1219 .M33,Z1219.M33,Masterplots annual,"Magill, Frank Northen, 1907- ed",1012307-1001,LEAVEY,BOOKSTACKS,BOOKSTACKS,1954,1/24/1997,Never,0,,
Z1037.A2 N46,Z1037.A2N46,The Newbery & Caldecott awards : a complete listing of medal and honor books,Association for Library Service to Children,973500-21001,LEAVEY,BOOKSTACKS,BOOKSTACKS,19,9/26/2002,Never,0,,
Z1035.1 .D665 1995,Z1035.1.D6651995,"A guide to reference books for small and medium-sized libraries, 1984-1994 / G. Kim Dority","Dority, G. Kim, 1950-",31275027522003,LEAVEY,BOOKSTACKS,BOOKSTACKS,1995,12/8/1996,1/6/2004,1,,
Z103 .P56 2002,Z103.P562002,Cryptography : a very short introduction / Fred Piper and Sean Murphy,"Piper, F. C. (Frederick Charles), 1940-",31275037241479,LEAVEY,BOOKSTACKS,BOOKSTACKS,2002,12/23/2002,9/23/2007,2,,
Z103 .B535 2010,Z103.B5352010,Secret language / Barry J. Blake,"Blake, Barry J",31275048689609,LEAVEY,BOOKSTACKS,BOOKSTACKS,2010,4/30/2010,Never,0,,
Z1003 .L35 2011,Z1003.L352011,The late American novel : writers on the future of books / edited by Jeff Martin & C. Max Magee,"Martin, Jeff, 1980-",31275048489489,LEAVEY,BOOKSTACKS,BOOKSTACKS,2011,4/28/2011,11/21/2011,2,,
XX(4732262.1),XX(4732262.1),MCNAUGHTON SERVICE FOR OCTOBER 2015 THROUGH SEPTEMBER 2016,,4732262-1001,LEAVEY,BOOKSTACKS,BOOKSTACKS,0,7/16/2015,Never,0,,
XX(4637471.1),XX(4637471.1),NOVEL WRITING: A WRITERS' AND ARTISTS' COMPANION,,31275054896320,LEAVEY,BOOKSTACKS,BOOKSTACKS,0,3/9/2015,Never,0,,
XX(4534241.1),XX(4534241.1),MCNAUGHTON SERVICE FOR OCTOBER 2014 THROUGH SEPTEMBER 2015,,4534241-1001,LEAVEY,BOOKSTACKS,BOOKSTACKS,0,9/12/2014,Never,0,,
XX(3418822.1),XX(3418822.1),Getting real : challenging the sexualisation of girls / edited by Melinda Tankard Reist,"Tankard Reist, Melinda",31275048516307,LEAVEY,BOOKSTACKS,BOOKSTACKS,2009,5/5/2011,12/14/2011,8,,
XX(3418610.1),XX(3418610.1),Bats / Phil Richardson,"Richardson, Phil",31275048516315,LEAVEY,BOOKSTACKS,BOOKSTACKS,2011,5/5/2011,Never,0,,
XX(3418595.1),XX(3418595.1),The inevitable : contemporary writers confront death / edited by David Shields and Bradford Morrow ; with an introduction by the editors,"Shields, David, 1956-",31275048516430,LEAVEY,BOOKSTACKS,BOOKSTACKS,2011,5/5/2011,Never,0,,
XX(3418588.1),XX(3418588.1),"Wikileaks : inside Julian Assange's war on secrecy / David Leigh and Luke Harding ; with Ed Pilkington, Robert Booth, and Charles Arthur","Leigh, David, 1946-",31275048516281,LEAVEY,BOOKSTACKS,BOOKSTACKS,2011,5/5/2011,6/5/2011,1,,
XX(3411829.1),XX(3411829.1),"Prison notebooks. Volume 2 / edited and translated, with an introduction, by Joseph A. Buttigieg","Gramsci, Antonio, 1891-1937",3411829-1001,LEAVEY,BOOKSTACKS,BOOKSTACKS,2010,4/25/2011,Never,0,,
XX(3411393.1),XX(3411393.1),ERISA and employee benefit law : the essentials / David A. Pratt and Sharon Reece,"Pratt, David A., 1949-",31275048516372,LEAVEY,BOOKSTACKS,BOOKSTACKS,2010,5/5/2011,Never,0,,
XX(2651778.1),XX(2651778.1),KOREA AND THE WORLD. / HONG SAH-MYUNG,,2651778-1001,LEAVEY,BOOKSTACKS,BOOKSTACKS,0,2/23/2009,Never,0,,
XX(2535810.1),XX(2535810.1),Such a long journey : a novel / Rohinton Mistry,"Mistry, Rohinton, 1952-",31275043978890,LEAVEY,BOOKSTACKS,BOOKSTACKS,1991,8/6/2007,5/21/2010,2,,
XX  (2499353.1),XX(2499353.1),The gatecrasher,"Wickham, Madeleine",2499353-1001,LEAVEY,BOOKSTACKS,BOOKSTACKS,0,2/5/2007,Never,0,,
XX(2159140.2),XX(2159140.2),"Great ideas of philosophy. Ethics [videorecording] : what is right? / Frances Kamm, Larry Temkin, Richard Sorabji","Kamm, F. M. (Frances Myrna)",2159140-2001,LEAVEY,BOOKSTACKS,BOOKSTACKS,2004,11/16/2007,Never,0,,
XX(2142615.6),XX(2142615.6),"I love Lucy. The complete second season on DVD [videorecording] / Desilu Productions Inc. ; producer, Jess Oppenheimer ; head writer, Jess Oppenheimer ; directors, William Asher, Marc Daniels, James V. Kern",I love Lucy (Television program),2142615-6001,LEAVEY,BOOKSTACKS,BOOKSTACKS,2004,5/11/2005,Never,0,,
XX(2138715.1),XX(2138715.1),"RELIGION IN KOREA / MINISTRY OF CULTURE AND TOURISM, KOREAN CONFERENCE ON RELIGION AND PEACE",,2138715-2001,LEAVEY,BOOKSTACKS,BOOKSTACKS,0,1/18/2005,Never,0,,
XX(2117025.1),XX(2117025.1),The case for Islamo-Christian civilization / Richard W. Bulliet,"Bulliet, Richard W",31275039129599,LEAVEY,BOOKSTACKS,BOOKSTACKS,2004,9/2/2004,3/5/2011,1,,
XX(2001593.2),XX(2001593.2),"THE DAWN AT MY BACK : A MEMOIR OF A BLACK TEXAS UPBRINGING, 1900-2000 [DVD]",,2001593-2002,LEAVEY,BOOKSTACKS,BOOKSTACKS,0,12/4/2003,Never,0,,
XX(2001593.2),XX(2001593.2),"THE DAWN AT MY BACK : A MEMOIR OF A BLACK TEXAS UPBRINGING, 1900-2000 [DVD]",,2001593-3001,LEAVEY,BOOKSTACKS,BOOKSTACKS,0,12/4/2003,Never,0,,
XX(1817194.1),XX(1817194.1),BIRTH MARKS [ELECTRONIC RESERVE],,1817194-1001,LEAVEY,BOOKSTACKS,BOOKSTACKS,0,9/14/2000,Never,0,,
XX(1816969.1),XX(1816969.1),AMERICAN PSYCHOLOGIST ARTICLE [ELECTRONIC RESERVE],,1816969-1001,LEAVEY,BOOKSTACKS,BOOKSTACKS,0,9/14/2000,Never,0,,
XX(1814072.1),XX(1814072.1),"ANNUAL ACCESS FEE AT 15% OF PURCHASE FROM 6/99 ($6,211.56)",,1814072-1001,LEAVEY,BOOKSTACKS,BOOKSTACKS,0,8/29/2000,Never,0,,
XX(1345849.1),XX(1345849.1),"The I ching ; or, Book of changes / the Richard Wilhelm translation rendered into English by Cary F. Baynes ; foreword by C. G. Jung ; preface to the 3rd ed. by Hellmut Wilhelm",I ching. English,1345849-1001,LEAVEY,BOOKSTACKS,BOOKSTACKS,0,10/9/1998,Never,0,,
XX(1305347.1),XX(1305347.1),Best of Broadway [videorecording],"Sullivan, Ed, 1901-1974",1305347-1001,LEAVEY,BOOKSTACKS,BOOKSTACKS,0,7/30/1998,Never,0,,
XX(1305346.1),XX(1305346.1),Romeo and Juliet [videorecording],"Cedric Messina, dir. Time Life",1305346-1001,LEAVEY,BOOKSTACKS,BOOKSTACKS,0,7/30/1998,Never,0,,
XX(1289157.1),XX(1289157.1),Shakespeare's Globe Theatre Restored [videorecording],,1289157-1001,LEAVEY,BOOKSTACKS,BOOKSTACKS,0,5/7/1998,Never,0,,
XX(1282919.1),XX(1282919.1),A streetcar named Desire [videorecording],,1282919-1002,LEAVEY,BOOKSTACKS,BOOKSTACKS,0,6/17/1999,Never,0,,
XX(1101101.1),XX(1101101.1),Twayne's United States authors series,,1101101-1001,LEAVEY,BOOKSTACKS,BOOKSTACKS,0,10/21/1997,Never,0,,
